Metric,Value,Total %
Total Branches,8515352,100%
Predicted Branches,8511303,99.95%
Default Branches,4049,0.05%
Correct Predicted,7670929,
Miss Predicted,840374,
Correct Defaults,1876,
Overall Accuracy,,90.11%
Predicted Accuracy,90.13%,90.08%
Default Accuracy,46.33%,0.02%
Predicted vs Default,+43.79%,
Address Replacements,0,0.00%
Replacement Skips,8043575,94.46%
