File Name,Size,Accuracy (%)
gcc-10K.txt,1,56.23%
gcc-10K.txt,2,60.84%
gcc-10K.txt,4,57.44%
gcc-10K.txt,8,46.02%
gcc-10K.txt,16,55.28%
gcc-8M.txt,1,47.58%
gcc-8M.txt,2,57.83%
gcc-8M.txt,4,71.97%
gcc-8M.txt,8,56.84%
gcc-8M.txt,16,57.50%
gcc-16M.txt,1,60.23%
gcc-16M.txt,2,68.49%
gcc-16M.txt,4,63.24%
gcc-16M.txt,8,65.78%
gcc-16M.txt,16,69.75%
